epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,109.194,1.4339,1.96815,0.0243,0.83331,0.75852,0.82846,0.45104,1.51998,1.02305,0.03311,0.00995516,0.00331839,0.00995516,0.00331839,0.00995516,0.00331839,0.00995516,0.00331839
2,218.197,1.43821,1.31533,0.02428,0.72551,0.59532,0.65363,0.3281,1.71737,1.72264,0.03979,0.0197576,0.00658587,0.0197576,0.00658587,0.0197576,0.00658587,0.0197576,0.00658587
3,327.036,1.57451,1.4335,0.02769,0.67873,0.50991,0.55652,0.23422,2.08834,2.03888,0.05467,0.029362,0.00978735,0.029362,0.00978735,0.029362,0.00978735,0.029362,0.00978735
4,439.354,1.64608,1.51178,0.02909,0.7222,0.65421,0.66916,0.30374,1.79675,1.49748,0.04253,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,550.621,1.60439,1.35491,0.02814,0.79416,0.67666,0.74531,0.35688,1.84498,1.3694,0.0435,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,661.762,1.55533,1.28638,0.02708,0.8477,0.76687,0.85344,0.464,1.60954,0.98047,0.03654,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,773.931,1.52833,1.23624,0.02643,0.82114,0.74682,0.81511,0.42845,1.70829,1.07808,0.03988,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,885.805,1.49969,1.2003,0.02546,0.89069,0.77987,0.88205,0.49492,1.55929,0.89072,0.03517,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,996.357,1.47887,1.13178,0.02528,0.8218,0.77377,0.83682,0.46173,1.60899,1.01736,0.03571,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1107.24,1.46039,1.11785,0.02494,0.85745,0.79664,0.87267,0.50221,1.50341,0.85871,0.03298,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1218.16,1.43525,1.0715,0.02441,0.84253,0.70412,0.8022,0.44433,1.62751,1.10444,0.03673,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1330.34,1.42223,1.07035,0.02389,0.88068,0.80681,0.88717,0.53664,1.47226,0.8162,0.03209,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1441.91,1.40352,1.03642,0.02342,0.87812,0.82778,0.89857,0.55391,1.41153,0.77214,0.03,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1552.77,1.39991,1.02015,0.02327,0.884,0.85233,0.90787,0.54153,1.43744,0.72291,0.03149,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1663.69,1.38442,1.01311,0.02318,0.86708,0.84647,0.90483,0.55386,1.42288,0.74194,0.03069,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1774.48,1.36939,0.97675,0.02279,0.88921,0.86579,0.91559,0.5651,1.36519,0.73917,0.02926,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1885.16,1.35463,0.95572,0.02233,0.89583,0.86565,0.92599,0.57269,1.37424,0.6521,0.02906,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,1995.78,1.34689,0.9598,0.02197,0.90708,0.86353,0.93015,0.58853,1.35163,0.63943,0.02856,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,2106.71,1.34002,0.94983,0.02222,0.90028,0.88104,0.93208,0.58302,1.34989,0.65902,0.02866,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,2217.62,1.33665,0.93729,0.02202,0.91309,0.87087,0.93736,0.59272,1.33945,0.62966,0.02811,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,2328.71,1.32046,0.92287,0.02191,0.91346,0.87138,0.93871,0.59329,1.32676,0.62511,0.02793,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,2440.5,1.31743,0.90866,0.02169,0.90826,0.88584,0.9358,0.59921,1.33603,0.61674,0.02782,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,2552.4,1.30012,0.8771,0.02143,0.9092,0.89527,0.94573,0.60824,1.29634,0.58419,0.02717,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,2664.28,1.30316,0.89193,0.02116,0.92175,0.8983,0.94684,0.60822,1.29638,0.56977,0.02655,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,2776.43,1.304,0.88647,0.02112,0.91722,0.91258,0.95587,0.61929,1.27356,0.53875,0.02614,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,2888.71,1.28171,0.87803,0.02098,0.92137,0.88968,0.94658,0.62042,1.26525,0.5677,0.02587,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,3001.13,1.27899,0.85935,0.02094,0.92102,0.90188,0.95107,0.61874,1.25437,0.55671,0.02566,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,3113.54,1.27192,0.86476,0.02064,0.92919,0.90493,0.95785,0.62788,1.23916,0.53284,0.02514,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,3225.7,1.26397,0.85352,0.02065,0.93597,0.89918,0.95765,0.6329,1.23161,0.53316,0.02509,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,3336.61,1.25973,0.84488,0.02047,0.91458,0.9145,0.95666,0.63035,1.23433,0.51075,0.02497,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,3447.98,1.26209,0.80845,0.02041,0.92994,0.90036,0.95385,0.63247,1.23121,0.51968,0.02494,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,3559.92,1.25149,0.80874,0.02027,0.92589,0.91458,0.95967,0.63679,1.23238,0.50051,0.02482,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,3671.07,1.24537,0.8008,0.02007,0.92111,0.92002,0.96211,0.641,1.22687,0.49418,0.02479,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,3782.36,1.24245,0.80306,0.01975,0.93243,0.91902,0.96116,0.64547,1.20937,0.48396,0.02425,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,3893.34,1.22809,0.7883,0.01978,0.92364,0.92171,0.96555,0.6442,1.20108,0.48712,0.02427,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
